id1,idnew,id2,lat_new,lon_new
717508,900001,772597,34.1711,-118.5099
772597,900002,772178,34.1704,-118.5011
772178,900003,717504,34.1653,-118.4924
717504,900004,772167,34.1651,-118.4885
772167,900005,772140,34.1652,-118.4766
772140,900006,764781,34.1628,-118.4720
764781,900007,760024,34.1593,-118.4663
760024,900008,769430,34.1593,-118.4609
769430,900009,717499,34.1575,-118.4524
717499,900010,769444,34.1555,-118.4454
769444,900011,769359,34.1555,-118.4349
769359,900012,717495,34.1567,-118.4172
717495,900013,769345,34.1566,-118.4103
769345,900014,717493,34.1554,-118.4009
717493,900015,717490,34.1543,-118.3925
717490,900016,717489,34.1465,-118.3700
717489,900017,717488,34.1374,-118.3626
717488,900018,764766,34.1338,-118.3554
764766,900020,717486,34.1316,-118.3501
717486,900021,769405,34.1284,-118.3469
769405,900022,769403,34.1220,-118.3405
769403,900023,769388,34.1200,-118.3388
769388,900024,717481,34.1078,-118.3308
717481,900025,769373,34.10403,-118.32023
769373,900026,717472,34.1020,-118.3169
717472,900027,717468,34.0986,-118.3149
717468,900028,717466,34.0949,-118.3114
717466,900029,717462,34.0919,-118.3073
717462,900030,717461,34.0869,-118.3037
717461,900031,717458,34.0837,-118.2990
717458,900032,716339,34.0805,-118.2940
716339,900033,717453,34.07803,-118.28603
717453,900034,717450,34.0759,-118.2771
717450,900035,717446,34.0730,-118.2694
717446,900036,716331,34.0707,-118.2643
716331,900037,716328,34.0673,-118.2551
716328,900038,764853,34.0657,-118.2526
764853,900039,773024,34.0600,-118.2465
773024,900040,773062,34.0547,-118.2390
